age,domain1_var1,domain1_var2,domain2_var1,domain2_var2
61.027805,53.489475,58.472298,49.17033,57.900795
66.59532,54.785625,54.30301,45.541325,52.11578
40.085804,50.37519,57.484295,44.18245,53.92951
52.55375,51.147285,58.463955,52.04676,51.514805
53.23898,52.559532,59.05893,49.051826,56.938213
49.03588,48.90909,61.631065,49.74251,56.6298
47.560898,54.40498,59.18628,48.170357,50.843853
50.510864,53.513256,57.07122,44.428394,51.433384
46.1065,53.549976,61.86506,47.783897,49.687675
67.00688,54.676094,58.230877,47.587826,52.766403
55.415485,51.14644,59.95795,46.565796,51.65321
52.345234,52.31342,62.582115,53.13188,54.73176
37.409264,49.262074,62.20752,47.038334,54.746193
33.83385,49.614895,60.98993,48.330254,53.70473
43.028362,55.978878,62.761448,48.043827,54.20146
55.683376,52.418606,58.461792,49.714355,54.099476
63.835846,50.007694,54.195126,49.002457,52.6843
58.066635,53.610577,52.512722,44.10831,47.59822
48.586628,57.55818,58.600456,44.679604,50.605247
40.210606,51.800373,63.197918,43.567642,53.42069
66.45219,53.607376,57.5715,49.762146,52.932777
41.038128,48.270584,58.43432,46.87609,52.45648
58.80646,52.69481,56.36292,51.558075,52.248104
52.864902,55.999832,60.032124,46.269337,52.279022
68.3464,55.232616,52.717854,44.710846,53.151897
53.279385,55.78399,59.34126,45.383457,54.180656
68.178246,54.99387,57.345413,47.25544,54.892025
58.125355,48.414623,56.85808,49.919266,53.095882
53.72656,54.272957,54.833855,48.325607,53.154305
50.185184,52.385494,55.800583,44.876163,53.10165
42.97391,49.701565,60.48156,47.257366,54.212345
38.823215,49.981407,62.752842,45.846275,53.89442
39.91615,48.110477,58.14621,48.129406,50.642105
54.84854,56.47342,54.448498,41.88693,48.349796
55.597507,54.053524,62.246716,49.152214,55.263683
39.763615,50.020473,60.081913,47.90859,51.077263
55.1418,53.24896,58.213375,47.01525,50.503212
49.582653,52.239883,60.1318,43.92738,48.758972
34.92982,49.754467,59.678925,46.47251,50.446648
53.98013,55.992332,60.78401,43.996124,50.75889
40.0577,47.8928,60.470036,48.32883,52.892696
40.39795,56.755863,63.29776,49.557804,52.932453
61.055836,55.901093,55.200268,49.643707,54.781937
48.23285,50.692455,59.294975,48.9603,52.53363
43.801487,53.36471,58.00749,41.5608,51.41707
56.21511,54.210556,59.621708,43.233562,51.921288
50.835976,53.00223,58.025803,43.132973,53.21751
66.068855,56.13291,59.062527,48.091644,51.928455
52.65246,52.114258,56.16614,48.60171,49.290337
52.90051,54.10913,55.27811,48.209084,53.61262
49.164036,50.498642,52.922558,49.18838,50.576054
44.233963,47.833885,59.696693,45.982784,53.50163
56.70448,52.527348,59.920006,49.00314,55.63099
58.00407,49.5559,55.83575,53.215363,54.700516
38.959583,54.67152,61.09824,42.347984,54.969074
50.652653,52.67859,59.55021,45.820866,54.25363
59.585342,50.8242,54.171494,49.8113,48.70787
54.892452,57.61096,59.55954,47.941753,55.396545
53.77821,50.75884,55.962578,46.394382,51.631256
42.720737,49.54793,63.89481,48.952457,57.256092
65.751686,56.571766,57.82861,50.17514,51.452946
56.427624,53.056923,57.628212,44.893616,54.471233
45.292564,50.27864,59.206882,45.052273,50.624134
40.16275,48.93688,62.00682,49.346626,53.860985
42.663795,47.55077,60.11545,45.208946,52.824135
49.586838,54.224358,62.24449,48.47185,54.680614
48.18313,52.63402,57.317337,45.397736,50.25601
30.732578,51.938087,61.542976,45.002148,53.835052
48.753635,50.89896,59.601,53.033943,50.72655
41.03108,50.761414,62.508755,44.275078,52.878143
60.510525,51.66466,52.168674,43.61711,51.16797
55.78064,56.67882,61.649307,46.05667,52.060623
51.235023,51.335426,55.928467,48.9066,51.510677
51.73663,51.479633,55.854546,44.45942,50.929813
47.226604,51.799282,53.517365,43.444183,53.026936
41.809696,52.663826,59.183216,47.92414,50.371998
58.986694,53.339558,53.448147,40.974785,49.098194
68.14366,53.19184,58.5469,50.725155,52.6767
41.4493,56.331245,62.807163,45.28515,52.581463
51.24433,52.22576,57.40874,45.411076,50.879444
50.72165,51.4474,57.491394,47.54134,50.54184
34.790035,53.39013,60.393234,41.815094,53.85732
49.641586,53.024776,60.223198,45.783455,52.926792
52.096302,51.493427,58.647633,49.156017,53.81705
54.42197,56.545086,53.672817,47.298306,50.774914
53.51884,52.769436,59.11801,49.89784,54.01963
52.629917,49.74109,60.004707,51.76599,52.11125
50.554523,50.8347,60.82268,49.781498,52.00395
31.961178,50.27655,67.27126,51.177525,57.466938
48.00912,51.606663,57.3438,46.92099,49.716393
44.809345,49.843685,56.77944,47.17008,53.11109
42.479897,52.019127,61.491833,47.329582,50.577698
35.43092,50.379333,62.73333,48.402855,52.994907
38.367153,52.646896,60.93951,39.9508,52.5403
57.577682,55.746082,58.26383,46.71156,50.114742
45.523396,50.01675,61.202797,51.002407,53.036976
35.355083,48.741814,61.871674,51.404137,52.60759
65.62428,56.76719,54.56128,45.663223,53.892937
64.20679,54.941166,55.899597,45.89269,52.674828
58.626816,54.266006,57.33303,50.32629,53.838337
46.823307,49.582615,60.895584,51.413185,53.429157
58.565563,52.465683,58.888863,51.921036,53.24725
56.70364,51.589466,60.302216,48.70767,53.34092
50.124325,49.236134,56.77802,48.232445,52.69156
40.675873,48.704052,60.176632,44.193,53.96899
64.4263,50.665253,54.19558,47.594154,51.261135
39.378162,47.693207,62.1449,49.20844,52.959576
53.151905,51.756245,55.676006,47.703625,48.059494
36.090794,48.794163,60.501625,45.012054,51.80955
42.810936,50.21181,59.14886,48.070953,52.829224
58.37192,49.139347,55.963295,52.550117,47.30337
50.353027,53.67963,60.70416,48.14363,56.220783
53.704887,56.12009,59.660385,44.165913,52.420204
48.27852,52.51418,59.10521,49.13095,48.759274
44.530006,50.056396,63.844524,45.314133,52.31813
61.519325,53.48034,52.58098,43.53851,50.13245
42.07684,51.772728,64.262566,45.669212,51.59841
36.30022,49.128494,61.49448,48.31622,50.305164
