age,domain1_var1,domain1_var2,domain2_var1,domain2_var2
60.50558,53.187748,61.007355,53.00514,58.65281
67.64117,53.42077,59.902485,47.419895,50.907955
38.416676,48.582874,61.671696,42.66735,51.66096
50.6055,53.65505,60.609848,50.510735,50.883923
54.84122,55.593216,56.054966,51.528805,58.15835
50.90726,52.224854,60.635452,47.345882,56.842648
44.07761,52.5167,61.24342,47.561577,49.257824
47.833176,54.458054,59.895058,47.027367,55.10982
45.632416,54.106544,62.13376,46.836727,51.50152
63.45176,54.250637,63.974117,49.748055,50.62567
51.638744,51.200138,63.8939,47.810566,50.15953
55.541073,52.275345,64.9635,50.672832,50.637844
39.584423,51.15798,62.743515,46.48352,55.433205
31.113235,46.65371,61.77148,45.021114,51.85879
43.7157,53.90926,58.45767,49.12995,58.181637
59.61298,56.181,61.897606,51.351353,58.43031
56.866867,49.26611,56.50144,49.210808,52.76454
52.51638,49.356003,54.628,48.604164,47.03656
44.225613,57.29256,59.247654,44.41693,51.161877
44.94283,48.639484,65.40213,44.498516,51.990658
65.68411,52.903694,58.67974,52.57203,54.35081
43.121433,50.78381,59.496605,45.1223,50.415802
53.509407,53.04408,59.528576,49.43377,49.79837
52.543858,56.078243,62.521465,52.301777,47.95175
69.09878,55.274952,53.42269,48.34985,56.72035
48.625904,54.213627,61.629025,43.455254,50.75223
70.5168,56.369873,60.619873,45.04959,55.939808
56.10352,45.622303,62.381687,48.841663,50.977127
54.442978,53.45188,60.925064,47.66748,49.620773
51.452354,49.43014,56.318157,46.21391,54.367966
41.690697,49.982628,65.26323,48.939598,56.528923
39.896236,44.40722,61.39926,45.601425,49.53197
43.72013,42.911556,56.432762,45.79952,50.837128
51.77084,57.801544,53.842747,42.779934,48.137516
55.858105,57.297615,62.841522,51.99088,55.874657
46.26682,48.502594,60.005028,51.306633,50.84211
56.232628,55.22778,58.209167,48.707882,49.36142
45.540096,47.242172,66.42492,47.925797,44.43284
39.929756,49.47631,56.860176,48.0003,49.23076
52.797546,54.292645,63.438385,44.80576,49.604103
41.153214,48.718063,61.56528,45.40182,55.376625
47.311203,58.65802,62.652573,48.843925,55.79223
66.87017,62.58588,56.173588,52.00292,57.915813
48.336735,49.792736,62.945423,49.619926,53.763744
43.045815,51.23893,54.38438,42.54268,54.329914
50.502735,49.122326,63.41202,46.950695,47.151443
52.093204,53.161495,59.38617,45.74667,54.53119
71.810036,58.609013,63.72273,55.499874,49.519047
51.748943,52.53317,58.59557,47.625023,48.902462
58.104313,52.74741,58.645058,50.298065,57.644505
47.414356,52.527393,62.01329,48.340004,52.413124
40.391476,47.403652,60.241726,44.386208,52.516647
60.871708,53.51444,58.499413,49.609436,54.526596
57.810303,49.395596,59.168327,53.5789,58.35012
37.859657,54.45806,56.27653,41.107235,53.40307
49.41083,53.834236,56.34398,42.475895,52.560535
54.755074,49.21164,61.64848,51.011105,44.50818
55.474434,60.703766,64.10979,52.070923,53.170513
52.37496,51.24815,59.74227,47.569145,46.68795
40.123207,45.980156,61.347916,46.500782,58.859787
64.77428,61.10009,56.510685,58.47108,52.263683
49.198185,54.768646,54.897346,47.804996,57.237244
41.67324,51.37576,60.99892,41.315796,51.68609
41.757137,47.943634,58.952377,48.323048,53.375877
40.874405,47.789894,56.642475,41.241276,57.645233
49.594894,53.718487,62.496964,48.046932,51.891186
51.559486,52.005737,59.488792,47.805225,49.55295
30.600676,52.498592,58.022236,42.740505,53.02781
57.977245,55.79232,62.82477,56.833797,51.61667
44.750504,52.006268,62.09946,44.65482,51.92575
54.466423,47.727623,59.80093,49.06825,55.812183
52.420124,55.37453,63.916595,46.90296,54.100502
50.033455,50.791252,58.391273,49.13816,52.268196
51.20944,50.72356,59.51401,47.557266,50.61639
48.8822,51.239243,51.4596,45.0981,54.324886
43.57581,53.897568,57.402523,45.65862,52.098408
55.359394,49.985516,60.57113,45.811924,51.246162
72.77311,53.770626,65.785835,55.88468,46.332603
43.01322,50.703804,59.959236,49.752872,55.445446
50.284256,49.413162,60.20566,47.841415,53.07732
57.676907,51.572292,60.322712,51.521183,50.257294
31.572325,50.69724,60.38659,36.651287,52.249763
50.19034,56.538776,63.70735,42.501846,51.229984
53.888607,48.45532,63.087154,50.426258,53.65193
53.326084,55.525967,57.507656,47.716286,53.529842
49.746197,52.155087,65.97524,50.957005,56.829025
49.431244,48.156708,61.237717,50.28977,50.92757
55.60007,51.23344,67.61515,49.521034,44.898277
38.59301,50.371483,64.68717,50.08459,57.794468
51.356518,48.224472,61.174232,48.979572,50.622013
46.455807,51.673065,61.158817,46.874706,51.2847
49.006775,53.206955,60.259415,56.53375,50.02931
40.68414,48.68167,59.69733,46.283287,57.960423
31.303469,48.35392,59.877697,39.209938,51.413498
57.692898,54.756172,61.520138,51.389774,49.62743
42.714188,51.96602,58.79954,47.37614,55.31493
40.597576,49.556244,61.08896,52.56963,55.51657
65.955696,61.67494,61.193058,48.28312,53.551758
73.48403,58.65936,58.1352,47.6584,49.55702
65.71839,56.85553,57.132984,54.318382,53.56835
39.599277,44.596024,61.540073,48.337257,54.686832
59.764263,52.66214,62.130093,52.70993,53.61303
57.666992,52.494278,60.51887,48.01353,51.85263
44.99601,47.857082,60.659004,45.725555,54.056416
40.678883,46.074226,59.581936,46.702297,57.26069
62.03504,47.916496,60.632893,45.648186,49.991074
42.584957,46.974693,60.32481,47.394173,53.287037
56.922375,57.916725,62.603504,49.298798,43.87364
36.431767,47.101124,60.177963,42.001858,54.36583
46.899925,52.564667,58.61182,47.756676,50.897198
59.99544,52.184986,60.518772,55.876205,45.75848
44.287327,48.71254,62.134884,50.040848,58.987103
49.991795,52.944355,65.54566,50.29974,46.569683
45.529205,51.30457,64.53247,50.440517,44.121212
50.056236,50.311855,62.020336,45.13033,51.094006
59.65862,55.118347,56.113476,50.68595,51.743774
41.056053,49.254253,64.83618,47.780838,47.27386
31.735804,46.318237,58.146664,44.254856,51.04718
35.856327,54.052933,62.860676,50.75311,54.400642
38.40893,48.625305,60.058716,42.196335,48.709717
56.31797,53.381115,60.219727,48.678665,49.971546
45.43137,50.2199,54.366917,51.191856,57.69122
59.430973,51.943115,61.912773,49.39168,51.95662
43.73018,50.2768,64.30486,46.168404,49.42391
42.82703,52.765255,59.86898,47.144516,52.05258
