age,domain1_var1,domain1_var2,domain2_var1,domain2_var2
64.126495,59.871525,58.05823,49.843918,49.9017
57.66683,54.74347,58.34736,45.263844,57.410156
55.553146,54.196995,60.673874,47.86676,53.88778
39.998837,46.28908,59.803753,44.265404,49.455055
49.373474,49.255505,56.565826,47.585163,54.14338
53.128567,51.080597,63.82419,46.78894,46.930576
59.294266,56.79268,62.225048,52.204964,45.130104
43.833015,49.99191,58.73929,46.143593,54.94071
37.202602,47.832066,63.366238,49.538956,52.983486
46.445713,49.74789,60.65044,45.64339,46.84169
47.361656,53.983204,56.299675,52.307327,51.067345
57.444332,52.442192,59.486835,49.334694,42.508316
45.48079,52.217754,56.788136,52.855827,49.75255
42.397438,48.860764,57.213394,46.668266,55.178226
37.5991,44.143856,65.75162,46.61848,47.7202
54.777195,53.177074,61.648327,47.823444,50.99073
49.50535,51.03516,58.28936,47.144043,53.085804
52.57703,51.490536,63.28514,46.78408,47.56303
38.76398,47.023335,59.289543,48.11417,54.5545
54.619183,53.61538,61.64791,48.59071,48.994022
42.137547,44.357864,65.144424,48.292877,50.636295
36.218052,45.95855,60.174976,50.086414,53.920944
60.132893,56.20297,57.31043,46.433254,57.965633
62.593327,57.505566,60.912823,47.747246,56.86951
60.341827,55.38307,64.78575,47.893593,55.631584
43.61805,47.651897,58.602,44.66551,55.7284
52.48548,54.009525,59.552658,49.573,53.65558
42.308258,52.75428,59.244427,51.150352,56.241768
57.83844,55.45566,58.328857,46.94563,58.435623
62.246147,57.844604,62.87673,49.91801,51.406063
50.800365,54.428394,62.469967,50.97254,57.375034
68.64428,60.4443,58.83993,49.547707,55.42534
66.54191,59.831486,59.199894,49.70512,49.66797
52.975662,52.413403,62.86161,45.40412,48.56312
39.66558,46.318817,65.557365,46.569984,52.22354
58.38266,53.24387,60.95237,45.72343,47.101334
43.97825,52.086067,63.65973,49.68079,54.86813
52.40194,51.73707,56.66225,46.791588,53.600445
48.775375,52.20184,61.08059,48.81248,58.827744
52.997105,52.93545,55.56012,44.65411,54.352158
34.74573,45.482124,58.986076,47.627438,53.219666
35.754818,44.82115,63.78014,49.975704,55.685085
53.21484,57.52076,57.24375,54.039383,40.90243
59.425,56.554386,54.707417,49.716,47.497772
52.353054,49.9408,61.495987,47.889057,51.134373
51.882053,53.203857,60.209206,50.779457,54.311172
44.145817,53.85997,56.725586,51.17242,50.442883
42.47021,45.863014,64.40869,45.320114,50.617126
34.770527,46.538998,58.325394,50.641552,53.11279
49.862743,52.531956,57.95384,48.078754,56.12651
56.96857,54.674572,62.206142,50.336933,51.28282
60.34494,56.93898,58.22562,47.0711,50.745358
61.303143,55.651676,59.491714,45.046417,53.36749
49.23645,52.166985,65.05192,48.836163,50.21836
41.57876,49.145996,61.054398,49.856277,46.774864
40.29275,47.229332,57.11019,47.578686,53.53162
57.1004,53.60214,62.979103,50.31304,49.477596
51.87331,50.40726,61.131466,49.22093,46.99429
48.516113,50.961475,58.797062,45.697765,55.101185
63.636482,53.845165,62.98911,43.02052,51.835197
52.85913,50.304787,63.609573,47.84021,50.699303
46.604584,49.123005,61.521847,45.968822,49.349937
53.105747,50.490883,56.12841,47.535736,49.179417
42.972157,47.35694,56.998962,44.883286,54.199467
53.519463,57.820774,62.25241,50.224937,58.41308
45.05113,48.976753,60.342464,48.88472,55.735226
54.74546,52.132156,61.361553,43.61774,59.055546
65.0973,58.80886,56.520916,48.05603,45.521214
51.54313,51.846233,60.842648,47.605343,50.539715
58.635326,55.037773,61.063316,49.52551,47.749172
46.83853,53.105843,56.015305,51.314262,56.362476
35.210785,46.358482,59.022793,48.844173,51.2199
54.401924,53.154457,60.64763,45.964684,56.773354
57.95224,55.23736,62.808075,47.37022,55.74916
56.697483,55.7795,56.734795,47.9196,51.257942
46.03251,48.24155,60.689705,44.801094,60.16794
55.587112,56.731995,57.46026,50.716824,56.12617
59.0862,55.62962,57.705986,47.3983,51.87385
43.935333,48.443565,59.3456,49.237396,48.188038
48.806705,47.33314,62.94615,42.90568,50.1233
59.079712,58.783516,54.273865,52.62646,46.464573
53.611042,55.83072,58.647446,54.98532,53.080517
57.890274,56.358547,59.594482,48.280045,51.703865
34.225876,40.4368,60.21333,41.60981,51.54024
62.163204,55.18609,65.004326,48.16153,49.140476
50.265697,51.213463,62.224014,49.29283,54.852165
55.615284,55.248455,58.07905,47.66291,55.691803
56.341595,54.895786,61.119595,50.529793,58.039318
43.52231,51.2495,52.294235,50.581924,59.32807
55.448254,58.09723,58.490635,49.290047,53.827675
43.62032,48.197784,57.68049,46.33671,51.296143
50.217587,51.886654,62.258778,47.592384,50.647392
33.045605,46.122364,59.251,50.79516,55.75033
51.11816,49.939987,57.512016,47.38736,50.54529
56.997192,54.254646,62.686092,45.66825,52.390285
42.027794,46.82338,65.29118,49.984333,45.820156
65.54813,58.090088,57.971394,47.453236,50.157696
47.94399,50.251118,64.49805,47.597034,56.268276
57.023857,54.25485,59.72564,44.075283,51.968075
40.54728,47.062725,56.92101,47.821213,49.296333
56.00766,56.534935,56.435135,47.168465,56.27856
46.691746,49.059696,58.422756,47.883205,48.1222
49.830822,53.5417,58.111805,49.353786,49.464355
40.26852,43.122784,59.055164,46.485798,52.226814
48.867912,53.660656,59.924477,53.044064,56.20766
63.03974,57.701244,60.29795,48.418175,45.18845
44.06208,51.346107,57.42454,47.604588,56.03871
49.457,51.04373,56.5846,43.505165,56.422005
45.2303,46.11814,64.27516,46.038136,47.020355
43.96368,48.380585,60.412846,43.88656,58.2474
45.13822,48.92572,60.462883,43.282455,51.01633
43.70327,50.53614,58.962093,51.65138,52.510193
61.410645,58.143,63.09056,48.812855,47.612133
58.765396,56.54773,57.683838,48.830456,44.58631
63.42688,56.648205,61.82135,47.988033,55.915913
54.379147,53.713158,60.045315,46.78193,48.276703
59.182842,54.13876,66.3739,49.887573,49.042595
39.673664,47.922802,57.77795,46.542755,54.952034
48.46646,56.564114,56.9268,52.32681,46.700485
65.27728,58.470848,58.391556,47.82096,49.30934
57.764515,54.826653,61.54633,42.757824,52.12748
53.980904,53.441273,57.184265,47.456985,51.35831
39.91059,49.592484,58.514015,47.299366,55.51683
57.857727,57.022453,59.451656,51.72007,53.700554
45.1357,47.587532,66.18286,46.02996,55.335514
39.42713,44.54318,60.874596,45.70773,49.49942
57.931435,58.996403,58.884857,51.808315,48.2109
59.780087,55.74994,60.42862,51.705013,53.86813
56.357754,56.080868,60.38566,46.796944,58.522682
41.5242,48.659195,61.478188,52.08897,50.884506
40.096043,43.860344,58.63168,41.86685,48.33491
63.29023,60.212643,61.048737,51.27736,52.69999
41.005783,46.520237,61.759647,46.876568,49.471157
37.957947,50.52847,60.13882,50.958683,53.36829
45.0569,48.904297,63.22966,44.757076,55.87393
48.007084,52.91668,64.200386,48.362625,54.979675
60.047924,56.750446,57.658432,46.846542,53.94055
52.74831,53.060577,59.354187,48.16013,56.097103
40.778763,45.266968,61.448277,46.274765,48.560925
46.713028,49.958332,62.872787,49.39701,57.51118
46.349823,49.38773,62.294167,52.18826,49.941036
48.092297,52.391296,59.627502,50.158722,49.007217
40.260128,51.747253,59.47607,53.816807,53.93089
43.689804,47.81598,58.361015,43.277256,52.568478
53.531807,52.11106,61.520397,49.03686,48.677166
34.327385,43.18122,59.670975,44.925617,55.455387
45.244324,52.090485,59.5434,53.54983,53.846603
41.44046,46.474197,56.90397,45.322838,57.117317
54.086296,52.91447,60.256134,47.300037,54.82667
44.639122,48.014805,58.070477,49.259926,58.014713
40.03166,50.281357,60.406548,49.10137,46.09929
34.98584,43.79961,60.538185,45.91258,49.763382
35.639835,45.142296,63.033615,49.66728,50.34695
38.378876,47.785698,56.25432,49.367237,54.929142
45.16161,47.17472,61.76944,45.471294,57.039013
46.96499,49.568882,63.371357,50.34267,58.98132
63.970085,57.24236,63.655193,50.514526,54.130356
41.627285,45.05021,61.356342,46.309032,57.084404
58.64262,55.026184,60.049545,52.66344,55.114
54.988518,55.525093,55.09478,48.288124,51.729378
59.814865,55.13066,59.219982,47.809246,55.133305
37.929688,50.006847,54.206135,48.928036,51.720726
37.655975,41.54583,65.821014,47.35917,53.20732
53.32477,50.40627,59.121033,49.7993,57.77521
37.452206,45.991734,59.98333,43.8197,53.801266
49.513027,53.453854,57.033432,51.9459,51.48061
39.917244,47.42565,54.699936,43.01902,53.988605
